Название вакансии,URL,Название компании,Описание
Разработчик Backend (Голосовой канал для экосистемы Сбербанка),https://samara.hh.ru/vacancy/29656273?query=python, Сбербанк для экспертов,"Разработка новых функциональных возможностей системы. Выбор оптимальной архитектуры приложения. Активное участие в придумывании новых фич сервиса, вынесение предложений на обсуждение... Опыт разработки на python3, django/flask/tornado/asyncio, celery. Навыки devops (linux, bash, docker, k8s. "
Senior DevOps / Site Reliability Engineer,https://samara.hh.ru/vacancy/29641776?query=python, Joom,"Проектирование, развертывание и совершенствование систем мониторинга, деплоймента, управления конфигурацией, аутентификации. Проектирование архитектуры мульти-датацентрового сервиса на десятки и сотни миллионов... Базовое знание Python или Go. Опыт работы с любой системой для деплоя. Опыт работы с AWS или Azure или Google..."
Стажер-разработчик,https://samara.hh.ru/vacancy/29646411?query=python, Forecsys,Доработка и оптимизация существующего кода. Участие в проектах анализа данных в качестве разработчика. Работа с источниками данных различных форматов (базы... Базовые понимания ООП. Базовые знания одного из следующих языков: C++/C#/Java/Python. Базовые знания основных алгоритмов и структур данных.
Системный инженер СУБД,https://samara.hh.ru/vacancy/29345348?query=python, Кадровое агентство Инны Стасилович,"Внедрение СУБД Greenplum (MPP PostgreSQL) у заказчиков. Оказание техподдержки (2-3 линия) СУБД. Постановка задач для отдела разработки.  Знание SQL + как минимум одного скриптового языка из списка: Bash, Python. Уверенное знание Linux (RH 7 / CentOS 7). "
"Senior Back-End, Full Stack Developer (Ведущий разработчик)",https://samara.hh.ru/vacancy/29598051?query=python, Световые Технологии,"Разработка серверной части веб приложений для программно-аппаратных комплексов АСУ ТП (управление светом, климатом), IOT. Приветствуются знания языков: C++, PHP, Ruby, Node.js, Python. Опыт интеграции сторонних сервисов как преимущество. Знание Jira, Bitbucket как преимущество. "
Системный аналитик в команду математической статистики Маркета,https://samara.hh.ru/vacancy/29665822?query=python, Яндекс,"Анализ поступающих бизнес-требований на полноту и непротиворечивость. Проектирование логической структуры объектов хранилища (таблиц и интеграций) на основании бизнес-требований.  Целеустремленность. Будут плюсами: Опыт работы с большими данными. Знание Python. Общее понимание финансов, управленческой и аналитической отчетности. Опыт построения отчетов..."
Senior/Experienced consultant (Data processing),https://samara.hh.ru/vacancy/29112298?query=python," PwC, Департамент аудита","Acting as a data processing specialist and advisor on complex projects. Managing and performing smaller data processing projects.  Applications (SAP ERP, Oracle EBS, 1C, MS Dynamics, banking systems) or programming languages (SQL, Visual Basic, Python, ABAP, Java..."
Старший менеджер (Управление риск-технологий),https://samara.hh.ru/vacancy/29696047?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Проводить бизнес и системный анализ задач на развитие наших систем (SAS RTDM, Oracle). Предлагать и выбирать архитектурные варианты разработки.  Хорошее знание одного или нескольких объектных языков программирования (SAS, Python, C++, С#, Java и т.д.). Понимание механизмов работы web..."
DevOps инженер (проект BigData),https://samara.hh.ru/vacancy/27841540?query=python,АО Национальная система платежных карт,"Участвовать в создании масштабируемых высоконагруженных сервисов, обеспечивающих бизнес НСПК. Участвовать в проектировании систем и процессов, обеспечивающих автоматизацию разработки, тестирования и... VmWare. CentOS 6/7. Git/Svn. Bash/Python/Java/PowerShell/Batch. Ansible/Tower. MySql/Tibero/PostgreSql. Atlassian Stash/Bamboo/Crucible..."
Junior Data Scientist,https://samara.hh.ru/vacancy/29544734?query=python,ЗАО Группа компаний С7,"S7 TechLab. Команда персонализации пользовательского продукта. - собирать, чистить и валидировать датасеты. - разрабатывать, тестировать и доводить до прода пайплайны обработки... высшее образование. - опыт написания кода на Python (не менее года). - ML стек на python. - понимание как работают основные алгоритмы машинного..."
Инженер-программист,https://samara.hh.ru/vacancy/27881456?query=python, Либхерр-Русланд,"Development of test cases. Development of test procedures (unit testing, hardware-software integration testing). Verification review (code review, design review... Knowledge in UML Tools and methods. Knowledge in Python programming language. Experience with hardware programmable logic devices design and VHDL..."
Senior data scientist,https://samara.hh.ru/vacancy/28155271?query=python, АДВ,Анализ и систематизация массивов данных по Интернет-пользованию и рекламным кампаниям в Интернете. Внедрение массивов данных в системы управления рекламными... Знание методики Look-a-Like и аналогов. Опыт разработки Python. Опыт участия в соревнованиях - хакатонах. Рейтинг на Kaggle.
Системный Администратор / Инженер технической поддержки (DevOps),https://samara.hh.ru/vacancy/29661370?query=python,ООО Интеллектуальный резерв,"Операционная деятельность по поддержке и развитию IT сервисов (UNIX). Администрирование серверов, СХД и сетевого оборудования. Решение инцидентов и диагностика проблем... Как минимум один из скриптовых языков: perl, sh, bash,python. Опыт работы с системами виртуализации (VMware, OpenStack, Docker), знакомство с..."
Программист / Разработчик Revit (BIM разработчик),https://samara.hh.ru/vacancy/29633021?query=python," АРМО, ГК","Автоматизация рабочих процессов в среде Revit. Внедрение и сопровождение разработок. Наличие реализованных плагинов под Revit. Отличное знание API Revit. Языки программирования Python, CSharp (C#), VBA. Системный подход к решению задач..."
BI Data Engineer,https://samara.hh.ru/vacancy/29607045?query=python, Лаборатория Касперского,"...from a wide variety of data sources using SQL, MDX, Python, etc. Developing reporting and analytical tools (i.e.  Coding knowledge and experience with several languages: Python, C#, JavaScript, HTML, etc. Strong data visualization skills and the ability to..."
"Главный администратор отдела сопровождения загрузки КХД (DWH, ETL)",https://samara.hh.ru/vacancy/29688369?query=python, Банк «Открытие»,"Сопровождение потоков данных, алгоритмов загрузки, обработки данных и ETL процессов (Informatica PC, Oracle, MS SQL) загрузки в Корпоративное Хранилище Данных... Умение понимать чужой код и, при необходимости, предлагать лучшее решение. Уверенное знание и опыт работы с SQL и PL/SQL..."
Аналитик данных,https://samara.hh.ru/vacancy/29014420?query=python, MERLION,"Решении аналитических задач самого крупного дистрибьютора России . Прогнозирование временных рядов: оборот холдинга на различных уровнях от месячной величины компании до... Знание или желание изучить Python. Желательно опыт решения задач в области анализа данных и machine learning. Stack: T-SQL, Power..."
Senior Go Developer (Storefront),https://samara.hh.ru/vacancy/28994980?query=python, OZON.ru интернет-витрина,Над чем предстоит работать: Участвовать в code-review задач команды. Улучшать процесс работы команды. Хорошее знание как минимум одного языка Go / C / C ++ / Java / PHP / Python / Ruby. Опыт промышленной разработки ПО (unit-тесты...
Менеджер по эффективности ИТ,https://samara.hh.ru/vacancy/29306575?query=python," X5 RETAIL GROUP, Центральный офис","Формирует дорожные карты программ ИТ проектов. Координирует разработку ИТ стратегии. Выполняет мониторинг и актуализацию статуса исполнения ИТ стратегии.  Высшее образование техническое/экономическое. Опыт работы в направлении IT, желательно в области управления IT службами / проектами и пр. "
Системный программист Linux (Junior),https://samara.hh.ru/vacancy/29601960?query=python, НТЦ Метротек,"Разработка драйверов, в том числе сетевых, для ядра Linux. Разработка системных приложений под Linux. Настройка и запуск ядра Linux на... Опыт программирования под Linux. Опыт разработки системных приложений под Linux. Опыт разработки драйверов. Знание скриптовых языков -- Python/Bash. "
QA специалист по ручному тестированию (BuyerX),https://samara.hh.ru/vacancy/29654015?query=python, Авито,"Текстовый поиск. Поиск по фото. Уточняющие запрос фильтры. Ручное тестирование фич, не покрытых автоматизированными тестами. Доработка тестовой модели и тест... Владеете одним или несколькими языками программирования (PHP / GoLang / Python ). Имеете опыт работы с Selenium. Умеете работать с Unix / Linuх. "
Ведущий специалист DevOps,https://samara.hh.ru/vacancy/29345341?query=python, Кадровое агентство Инны Стасилович,"Участие в разработке/доработке технической архитектуры системы (совместно с архитектором системы), составление требований к серверам и системному ПО.  Владение Bash или Python. Наличие опыта настройки и управления Nginx. Знание принципов балансировки нагрузки (например, Haproxy и Citrix NetScaler). "
IS Engineer - Cashing Solution,https://samara.hh.ru/vacancy/29276742?query=python, Decathlon,"Provide the reliability and exploitation of IT System. Identify and deal with evolution projects using technical components essential to the... You are specialist in Linux (bash,sh,python). Knowledge in Cashing Systems (as a bonus). You are a team player..."
Разработчик DWH/ETL,https://samara.hh.ru/vacancy/28894106?query=python,АО Газпромбанк,"Анализ и консультации по возможностям реализации требований. Проектирование потоков данных, интеграционных решений и витрин данных. Разработка процессов загрузки данных из... Понимание принципов работы (или опыт разработки) ESB, MQ, SOAP, web-services. Желательно знание SAS Base, Python, C/C++, Java,R."
Системный аналитик DWH/ETL,https://samara.hh.ru/vacancy/29143493?query=python,АО Газпромбанк,"Сбор, анализ, формализация и согласование требований. Постановка и контроль исполнения задач на разработку. Валидация тестовых сценариев, участие в приемо-сдаточных... Понимание принципов работы (или опыт разработки) ESB, MQ, SOAP, web-services. Желательно знание SAS Base, Python, C/C++, Java,R."
Data Scientist (рекомендации),https://samara.hh.ru/vacancy/28772743?query=python, OZON.ru интернет-витрина,"Использование методов data mining/machine learning для улучшения существующих и создания новых автоматизированных систем. Реализация и поддержка алгоритмов (Python, Spark... Владение основными методами и алгоритмами data mining/machine learning. Знание или желание изучить Python. Базовое знание теории алгоритмов и структур..."
Младший инженер по системам управления ИТ-инфраструктурой,https://samara.hh.ru/vacancy/24605478?query=python, КРОК,"Внедрение и поддержка платформ предоставления облачных сервисов (в т.ч. на базе контейнерной виртуализации). Внедрение DevOps-практик. Автоматизация задач администрирования... Опыт работы с одним или несколькими скриптовыми языками программирования (bash, python, vbs и другие). Базовые знания в семействе операционных систем..."
Сетевой инженер\ведущий инженер-тестировщик,https://samara.hh.ru/vacancy/27702073?query=python,ООО БУЛАТ,"Проведение функционального, нагрузочного и аппаратного тестирования сетевого оборудования (высокопроизводительные маршрутизаторы и коммутаторы, CPE). Диагностика, документирование неисправностей, заведение в багтрекер и... Опыт работы с телекоммуникационным оборудованием. Навыки программирования на Python. Навыки администрирования Linux. Понимание жизненного цикла сетевого ПО, процессов его разработки. "
QA / инженер по автоматизации,https://samara.hh.ru/vacancy/29647517?query=python, Звук,"Проектировать и поддерживать актуальную документацию. Создавать и перепроверять задачи в системе баг-трекинга. Взаимодействовать с командой разработчиков и помогать в... Ты – командный игрок, и тебе присущи выносливость, упорство, перфекционизм. Если у тебя есть опыт в организации автоматизированного тестирования (или большое..."
Разработчик баз данных (MS SQL),https://samara.hh.ru/vacancy/29657910?query=python, Лаборатория Касперского,"Разработка и тестирование решений (OLAP-кубы, базы данных) в рамках поставленных задач. Участие в релизах. Поддержка разрабатываемых решений.  Высшее образование. Опыт разработки баз данных MS SQL, SSIS пакетов и OLAP кубов (MDX – крайне желателен). Знание любого языка программирования..."
Консультант по вопросам анализа данных,https://samara.hh.ru/vacancy/29484360?query=python, Ситимобил,Консультирование команды дата-аналитиков по вопросам математических алгоритмов используемых в рамках деятельности компании. Проверка солидности гипотез и математической обоснованности выводов.  От 7 лет опыта в области Теоретической Математики и анализа данных. Опыт работы со статистическими инструментами как R и Python. 
Аналитик BI,https://samara.hh.ru/vacancy/29540347?query=python, Сбербанк для экспертов,1. Построение аналитической отчетности в Excel и BI. 2. Создание витрин данных для внедрения в продуктовые системы. Отлично знаете Excel. - Знакомы с QlikView или Grafana. Плюсом будет: - Знание python. - Умеете работать с данными в векторном представлении используя...
Инженер сервисных платформ (Linux),https://samara.hh.ru/vacancy/28955232?query=python,АО МегаЛабс,"Обеспечение бесперебойной работы услуг, базирующихся на сервисной платформе. Повышение отказоустойчивости платформы. Конфигурирование оборудования, внесение изменений в процесс эксплуатации.  Использование в работе средств автоматизации, опыт написания скриптов (bash, python, etc…). Понимание принципов работы сотовых, беспроводных и проводных сетей. "
Старший аналитик (Управление исследований и инноваций),https://samara.hh.ru/vacancy/29272766?query=python, Банк Хоум Кредит,"Участие в Data Science проектах по различным направлениям деятельности Банка. Тематическое моделирование чатов. Предсказание ухода партнера из банка.  Опыт работы с базами данных (Oracle, MS SQL, PostgreSQL). Знание SQL, Python, PySpark. Желателен опыт NLP и с Hadoop/Spark. "
Ведущий инженер (SON),https://samara.hh.ru/vacancy/29681675?query=python,АО Энвижн Груп (NVision Group),"Базовая техническая поддержка платформы SON Nokia. Подготовка отчетов, рекомендаций, помощь в оптимизации радиоподсистемы на основе данных платформы SON.  Опытный пользователь/навыки администрирования Linux и Windows. Опыт написания скриптов/программирования Python, Linux scripting. Базовое знание технологий и протоколов беспроводной..."
Системный администратор,https://samara.hh.ru/vacancy/29055770?query=python,ООО Раппорто,"Обеспечение работоспособности сервисных платформ на уровне 2-й и 3-й линий технической поддержки. Обеспечение бесперебойной работы сервисов в соответствии... Базовое знание архитектуры Unix – подобных ОС. Опыт программирования на скриптовых языках (bash, python, perl). Базы данных MySQL, PostgreSQL. "
"Заместитель начальника Управления методологии и анализа кредитных рисков (PD, LGD)",https://samara.hh.ru/vacancy/29410996?query=python,АО Россельхозбанк,"Участие в проектах по развитию системы управления рисками Банка/Группы, проектах по внедрению ИТ-решений в области управления рисками.  Владение пакетом MS Office (PowerPoint и Excel на продвинутом уровне), владение R, SQL, Python (желательно). Опыт работы в банках топ..."
Разработчик С#/С++,https://samara.hh.ru/vacancy/29623645?query=python, ГК ТВЕМА,Разработка программного обеспечения. Поддержание и развитие существующих проектов. Практическое применение С# и платформы .NET Framework. Базовые знания С++/С. Знание связки python+numpy+scipy будет большим плюсом. Высшее техническое образование.
Аналитик,https://samara.hh.ru/vacancy/29658049?query=python,ЗАО КонсультантПлюс,"Анализ пользовательских логов. Выявление частотных проблем в качестве поиска, выдача рекомендаций по их устранению. Анализ и прогнозирование частотности поисковых потребностей.  Python (numpy, pandas, sklearn). Опыт работы с Hadoop (Map Reduce, hdfs, Spark). Умение формализовывать бизнес-задачи в задачи машинного обучения. "
Разработчик 1С (облачная Технология 1С:Fresh),https://samara.hh.ru/vacancy/29590855?query=python,ЗАО 1С,"Технический анализ и проектирование прикладных и технологических механизмов. Групповую разработку на платформе «1С: Предприятие» (включая аудит кода).  Умение работать со средствами виртуализации. Знание базовых приемов работы в Linux. Знание скриптовых языков программирования (таких, как shell, PowerShell, Python)."
Старший инженер по физическому проектированию СБИС,https://samara.hh.ru/vacancy/29680847?query=python,АО НПЦ «ЭЛВИС»,Разработка топологии блоков и кристаллов СБИС. Логический синтез RTL. Внедрение DFT и Low Power. Знание подходов к Signoff STA. Понимание результатов временного анализа. Знание Tcl/Perl/Python/Shell для автоматизации задач. Опыт физической верификации. 
Assitant Data Scientist / Junior Data Scientist,https://samara.hh.ru/vacancy/29572577?query=python, Dentsu Aegis Network Russia,"Автоматизация сбора данных и ETL: внутренние, внешние источники данных, структурированные и неструктурированные данные. Feature Engineering: поиск и конструирование новых факторов... Владение R / Python / MATLAB. Знание SQL. Hadoop, Scala, Spark и прочие технологии работы с большими объёмами слабо структурированных данных будут..."
Специалист по анализу данных / Data Scientist,https://samara.hh.ru/vacancy/29604847?query=python,ООО АлгоМост," Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, Keras, Vowpal Wabbit). Желателен опыт успешных..."
Data engineer,https://samara.hh.ru/vacancy/29599087?query=python,АО Национальная система платежных карт,"Обеспечение интеграции мест хранения данных: извлечение, обработка, загрузка данных. Выбор и реализация алгоритмов обработки данных, включая: Поддержка инфраструктуры обработки данных... Опыт написания многопоточных приложений (как преимущество). Навыки программирования на SQL/Python/Java/Scala. Понимание принципов Data engineering, Data governance. "
Главный инженер по разработке DWH,https://samara.hh.ru/vacancy/29644598?query=python, Diamond Personnel R&C,"Выявление торговых возможностей на основании real-time market data и текущих сделок по всем продуктам, торгуемых в периметре Глобальных рынков... Высшее образование. Опыт работы с хранилищами данных и перечисленными ниже платформами– от 3-х лет. Английский – не ниже Intermediate (письменный..."
Администратор баз данных (PostgreSQL),https://samara.hh.ru/vacancy/28030749?query=python, Авито,"Развивать с командой DBA PostgreSQL as a Service. Администрировать и поддерживать PostgreSQL инфраструктуру. Понимаете принципы работы СУБД и транзакционной машины, отлично владеете СУБД PostgreSQL. Настраивали, администрировали или создавали системы резервного копирования баз данных. "
Пентестер,https://samara.hh.ru/vacancy/29266686?query=python, Банк Русский Стандарт,"Тестирование безопасности информационных систем/сервисов. Проведение пентестов (в т.ч. в ручном режиме) и сканирований на уязвимости. Проведение анализа исходных... Опыт разработки на одном из языков: python, C#, VB (ASP, ASP.NET), Java, ruby, PHP с использованием основ безопасного программирования. "
Frontend-разработчик (React),https://samara.hh.ru/vacancy/29608217?query=python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат."
Аналитик отдела аналитики и отчетности по РозничномуБизнесу,https://samara.hh.ru/vacancy/29683169?query=python, Банк «Открытие»,"Расчет и оптимизация системы мотивации сотрудников взыскания (включая Legal Collection). Анализ эффективности существующих процессов взыскания. Участие в проектной деятельности Collection.  Образование Высшее. ПК, знание программ: PL/SQL Developer (опытный пользователь – обязательно), SAS (обязательно), SQL (обязательно), VBA (желательно), Python (желательно)."
Инженер сопровождения микросервисов,https://samara.hh.ru/vacancy/29682964?query=python, Банк Хоум Кредит,"Прикладная и системная поддержка микросервисов. Разворачивание новых и апгрейд существующих микросервисов, инцидент менеджмент. Мониторинг работы и выявление узких мест в... Чтение технической документации на английском. Знание Docker, Rancher. Владение bash, python. GIT, Artifactory, Ansible. Знание java\.net\. ELK stack. "
Java-разработчик (команда Архитектура),https://samara.hh.ru/vacancy/28079622?query=python, HeadHunter::Технический департамент,"Развитие инструментов, используемых при разработке и эксплуатации сервисов (библиотеки и фреймворки, логирование и мониторинг). Совершенствование архитектуры проекта для ускорения разработки... Опыт работы с Docker. Знание HTTP и REST. Плюсом будет знание Python, опыт работы с Ansible. Не страшно, если у..."
Аналитик,https://samara.hh.ru/vacancy/29653463?query=python, Zoon.ru,"Оценивать продукты и фичи - как они работают и на что влияют. Проводить А/Б тесты - что стоит доработать, а что... Аналогичный опыт работы. Любознательность, логическое мышление, способность учиться новому, ответственность, стремление стать лучшим в своей сфере — это главное. "
"Главный инженер по разработке (machine learning, data science, NLP)",https://samara.hh.ru/vacancy/29568391?query=python, Сбербанк для экспертов,"Оценка качества моделей в офлайне (на исторических данных) и в онлайне (высоконагруженный продакшен). Использование Python и знакомство с библиотеками для... Желание развиваться как ML инженер, не «чистый DS». Опыт построения, тестирования моделей, внедрения их в production и их сопровождения, включая..."
Трафик менеджер / User Acquisition Manager,https://samara.hh.ru/vacancy/29696570?query=python, Webgames,"Cоздание и запуск рекламных кампаний в Facebook Ads, Google Ads, My Target и других рекламных сетях. Оптимизация маркетинговых кампаний.  Хорошее понимание теории вероятностей и математической статистики. Английский не ниже Intermediate. Знание SQL. Знание релевантных библиотек Python для анализа данных."
Java разработчик (команда Меркурий),https://samara.hh.ru/vacancy/29275592?query=python, HeadHunter::Технический департамент,"Участвовать в проработке бизнес-задач со внутренними заказчиками и менеджером проектов (здесь мы отвечаем на вопрос ""Что нужно сделать?"").  ...работы с Ansible, Docker. Опыт работы по гибким (Agile) методологиям. Участие в разработке веб-проектов с большой нагрузкой. Знание python."
Разработчик в Видео,https://samara.hh.ru/vacancy/26804549?query=python, Яндекс, ...языка высокого уровня. Хорошая алгоритмическая подготовка. Желание писать на C++. Опыт разработки распределенных систем. Опыт разработки на Python (будет плюсом).
"Data Аналитик (web, mobile)",https://samara.hh.ru/vacancy/29607523?query=python, Convergent Media Group,"Ты управляешь процессом настройки систем сбора статистики и отвечаешь за корректность их настройки. Ты формируешь аналитическую отчетность: ты сам предлагаешь... ...что лучше применять. Ещё было бы неплохо знать и уметь SQL (а ещё лучше - Python, но это уже в идеале)."
Machine Learning Engineer,https://samara.hh.ru/vacancy/29598971?query=python,ЗАО Группа компаний С7,Проводить исследования алгоритмов машинного обучения (от чтения статей до экспериментов). Подбирать оптимальный набор алгоритмов для задач (паритет между быстродействием и... Опыт работы DE/DS/SE от 3 лет. Опыт разработки на Python/C++ (Scala/Java вообще супер). Опыт оптимизации своих...
Data Scientist,https://samara.hh.ru/vacancy/29535510?query=python, Dostavista Global,"Пользоваться матаппаратом статистики. Средние, корреляции, критерии статистической значимости. * Добывать данные из внешних источников и складывать их в удобное для последующего... В сумме команда должна хорошо знать и уметь: * Python 3 (pandas, numpy). * Понимать, как готовить градиентный бустинг. * Читать и писать..."
DevOps,https://samara.hh.ru/vacancy/29606680?query=python,ООО Центр недвижимости от Сбербанка,"Автоматизировать процессы сборки, тестирования, развёртывания и мониторинга продуктовых сервисов компании. Прокси: Nginx/HAProxy. Развёртывать (и автоматизировать развёртывание), поддерживать и развивать... Docker (+ docker-compose). Python3. Знанием:"
Системный программист Linux,https://samara.hh.ru/vacancy/29602102?query=python, НТЦ Метротек,"Разработка драйверов, в том числе сетевых, для ядра Linux. Разработка системных приложений под Linux. Настройка и запуск ядра Linux на... Знание сетевой подсистемы ядра Linux. Знание стека протоколов TCP/IP, принципов коммутации и маршрутизации. Знание скриптовых языков - Python/Bash. "
Программист-разработчик (Full-stack),https://samara.hh.ru/vacancy/29577136?query=python,ООО Орденфеликса,"Улучшение и оптимизация текущего UI. Оценка времени и трудозатрат на выполнение поставленных задач. Взаимодействие с командой. Оптимизация существующей кодовой базы.  Javascript, фреймворков React, Vue. Нужно уметь Python + Django, Go, PostgreSQL, REST. Знание других языков программирования и фреймворков. "
Senior Data Scientist,https://samara.hh.ru/vacancy/29537291?query=python, Альфа-Банк,Разработка моделей классификации и кластеризации для реализации пилотных проектов по монетизации данных. Развитие хранилища данных на базе hadoop.  Знание ключевых библиотек машинного обучения с применением языков Python или R. Фокус на бизнес-ориентированность в сочетании с аналитическим мышлением. 
Data Scientist (Голосовой канал для экосистемы Сбербанка),https://samara.hh.ru/vacancy/29601309?query=python, Сбербанк для экспертов,"Препроцессинг текстовых данных. Разработка моделей обработки естественного языка NLU, ODQA, Chit-chat. Обучение и регуляризация моделей. Развитие базы знаний и... Знание библиотеки глубокого обучения Keras/TensorFlow/Theano/PyTorch. Python3 (scikit-learn, nltk, pandas, pymystem3, pymorphy2, word2..."
"Программист (С++, Machine Learning)",https://samara.hh.ru/vacancy/28892436?query=python, ABBYY,"Поиск диаграмм в документах с применением последних наработок (в т.ч. генератора документов с диаграммами с различной аугментацией).  Высшее образование. Опыт разработки алгоритмов машинного обучения в области распознавания и обработки изображений. Хорошее знание С++, опыт коммерческой разработки от..."
Лидер внедрения Производственной системы,https://samara.hh.ru/vacancy/29654653?query=python, SOKOLOV,"Развитие методологии и практики эффективной производственной системы компании. Ведение проектов по оптимизации процессов и внедрению новых высокопроизводительных процессов с нуля.  Желательно: Знания и опыт внедрения ИТ проектов. Сертификат Чёрный Пояс Шесть Сигм. Навыки работы в Minitab, R или Python."
Разработчик C++ (MAPS.ME),https://samara.hh.ru/vacancy/29271803?query=python," Mail.Ru Group, Карты",Разработка бэкенд-системы маршрутизации по дорожному графу и проектирование API сервиса. Разработка алгоритмов геокодирования и адресного поиска. Проектирование и создание... Знание С++ . Опыт многопоточного программирования. Хороший технико-алгоритмический базис. Знание Python. Опыт разработки нагруженных сервисов.
Разработчик в команду Справочника,https://samara.hh.ru/vacancy/26804571?query=python, Яндекс,"Эффективно организовывать процесс актуализации, не звоня слишком часто в компании. Майнинг (сбор) данных об организации из веба (нам доступна вся... Уверенное знание C++ и Python. Знание классических алгоритмов и структур данных. Знание принципов функционирования распределенных систем. Опыт в программировании на..."
Инженер-верификатор аналоговых блоков,https://samara.hh.ru/vacancy/29685239?query=python,АО НПЦ «ЭЛВИС»,"Разработка методик контроля характеристик аналоговых устройств и отдельных блоков на различных этапах разработки. Разработка схем тестовой оснастки в схемотехнических САПР.  Базовое понимание принципов работы аналоговых схем (ВАХ, АЧХ, Шум, Линейность...). Знание одного из скриптовых языков (Ocean/SKILL или Python). "
Специалист по обработке данных/ Data science,https://samara.hh.ru/vacancy/29265761?query=python, Группа Гута,"Сбор внутренней и внешней информации по предприятиям холдинга. Обработка данной информации с использованием современных средств (Data mining, Crowdsourcing и т... Обязательно наличие опыта работы в математическом анализе и моделировании. Знание математических методов в экономике, теории вероятности и математической статистики. "
Аналитик данных (Data Scientist),https://samara.hh.ru/vacancy/26486889?query=python," Mail.Ru Group, Решения для бизнеса","Анализ данных, построение и реализация алгоритмов их обработки. Создание математических моделей. Сопровождение имеющегося кода. Программирование - основы и опыт в Python и одном из языков C/C++/Java. Научный стэк Python, numpy/scipy/matplotlib/pandas..."
